計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2026/01/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,1bf57ux194rw4d10u420s1pufvbixmdqs81qk4rxf6g
1,2026/01/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,7sqjvniv6ml8153siq6gapggg1cplsuvv5e92t1vuo5
1,2026/01/15,テストクライアント 入金,305259,テスト銀行 本人普通,収入,事業収入,,0,lewjex1qbvqqjsmdklk12isstfm2id5ylsqwh1nu5yh
1,2026/01/22,テストスーパー,-60657,テストカード 配偶者名義,食費,食料品,,0,1v7mj66xq5t8o1l2480qnogn5d18nmrt5173pn8l137
1,2026/01/03,テスト食堂,-17816,テストカード 配偶者名義,食費,外食,,0,smm5zr1njh8ykf22gfy1a1mf5z1iev4961eexdar1s5
1,2026/01/04,テストドラッグ,-7805,テストカード 配偶者名義,日用品,日用品,,0,1m8iccj1ei2c5e1nipdmr1ds5qt21m6qfccsf7z84st
1,2026/01/05,テスト電力,-12973,テスト銀行 本人普通,水道・光熱費,電気代,,0,10gamfn15g60821izwh4p4pvard9r41pm1wl875f10p
1,2026/01/06,テストガス,-7970,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,d0h92f1yayxzq1ghrjf21cgy1cm13wybwb1yk4fj1u1
1,2026/01/07,テストモバイル,-8572,テストカード 配偶者名義,通信費,携帯電話,,0,h16md0ozts5a1skyhun1bw1w2b17uobrq1ss3fvu1jn
1,2026/01/08,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,1dzp9r4fqkdtoffxhrj1kjan6611hkdab1xu6vtm10s
1,2026/01/09,テスト書店,-4696,テストカード 配偶者名義,趣味・娯楽,書籍,,0,1iq8h6g7bj1zca5k5fofky45sfaeq71y84h4hj23lk6
1,2026/01/10,テスト交通 IC チャージ,-5503,テストカード 配偶者名義,交通費,電車,,0,65ffgtk9mhzcaqug2dtsks4lw76ag31wugxv71worqg
